SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
620,2,<=30,0,0,13.38,1.93,1,0,0,15.31,0.0,4.566552901023892
621,2,<=30,8,4,7.16,1.23,0,0,12,8.39,1.6,3.210762331838565
622,2,<=30,0,0,9.31,0.42,1,0,0,9.73,0.0,6.556338028169015
623,2,<=55,2,16,4.85,1.03,0,2,18,5.88,0.11764705882352941,2.389162561576354
624,1,<=45,8,3,13.34,1.07,0,1,11,14.41,2.0,6.444444444444444
625,1,<=45,4,15,17.66,1.48,0,1,19,19.14,0.25,7.120967741935484
626,1,<=55,10,20,13.08,2.49,0,2,30,15.57,0.47619047619047616,3.747851002865329
627,1,<=30,4,4,4.18,0.49,0,0,8,4.67,0.8,2.8053691275167782
628,1,<=45,18,9,2.51,0.91,0,1,27,3.42,1.8,1.3141361256544501
629,2,<=30,3,7,4.53,0.98,0,0,10,5.51,0.375,2.287878787878788
630,1,<=30,9,2,5.31,1.09,0,0,11,6.3999999999999995,3.0,2.54066985645933
631,1,<=55,7,11,8.77,2.37,0,2,18,11.14,0.5833333333333334,2.602373887240356
632,2,<=55,8,28,7.45,1.26,0,2,36,8.71,0.27586206896551724,3.296460176991151
633,2,<=30,2,7,6.65,0.84,0,0,9,7.49,0.25,3.6141304347826093
634,1,<=45,21,16,16.76,4.75,0,1,37,21.51,1.2352941176470589,2.9147826086956523
635,1,<=45,9,1,10.23,2.9,0,1,10,13.13,4.5,2.623076923076923
636,1,<=30,8,1,12.32,0.51,0,0,9,12.83,4.0,8.158940397350994
637,1,<=30,8,6,7.86,0.94,0,0,14,8.8,1.1428571428571428,4.051546391752578
638,2,<=45,6,10,12.35,2.35,1,1,16,14.7,0.5454545454545454,3.6865671641791042
639,2,<=45,10,8,1.64,0.32,0,1,18,1.96,1.1111111111111112,1.2424242424242422
640,2,<=55,16,22,3.6,1.77,0,2,38,5.37,0.6956521739130435,1.2996389891696751
