Model,Features,AUC,Accuracy,Precision,Recall,F1-Score,Rank
Logistic Regression (Significant),4,0.8074807480748075,0.7591240875912408,0.5882352941176471,0.2777777777777778,0.37735849056603776,1
Logistic Regression (Combined),6,0.7898789878987899,0.7737226277372263,0.6470588235294118,0.3055555555555556,0.41509433962264153,2
Naive Bayes (All Variables),6,0.7665016501650166,0.7518248175182481,0.5555555555555556,0.2777777777777778,0.37037037037037035,3
SVM (RBF Kernel),6,0.737073707370737,0.7737226277372263,0.6666666666666666,0.2777777777777778,0.39215686274509803,4
